0|name_eng|1|city_eng|2|country_eng|3|latitude|4|longitude|5|runway_elevation
Akhiok SPB|Akhiok SPB|Akhiok|Akhiok|United States|United States|56.938691|56.938691|-154.182556|-154.182556|13|13
Auckland International|Auckland International|Auckland|Auckland|New Zealand|New Zealand|-37.008056|-37.008056|174.791667|174.791667|7|7
Zakouma|Zakouma|Zakouma|Zakouma|Chad|Chad|10.900|10.900|19.817|19.817|415|415
King Salmon|King Salmon|King Salmon|King Salmon|United States|United States|58.676493|58.676493|-156.648691|-156.648691|22|22
Colorado Plains Regional Airport|Colorado Plains Regional Airport|Akron, CO|Akron, CO|United States|United States|40.175633|40.175633|-103.222028|-103.222028|1437|1437
Anaktuvuk|Anaktuvuk|Anaktuvuk|Anaktuvuk|United States|United States|68.133597|68.133597|-151.743342|-151.743342|641|641
Gunung Batin|Gunung Batin|Astraksetra|Astraksetra|Indonesia|Indonesia|-4.612|-4.612|105.232|105.232|27|27
Akure|Akure|Akure|Akure|Nigeria|Nigeria|7.246739|7.246739|5.301008|5.301008|335|335
Akrotiri Raf|Akrotiri Raf|Akrotiri|Akrotiri|Cyprus|Cyprus|34.590416|34.590416|32.987861|32.987861|23|23
Aksu|Aksu|Aksu|Aksu|China|China|41.262500|41.262500|80.291667|80.291667||
Akulivik|Akulivik|Akulivik|Akulivik|Canada|Canada|60.818611|60.818611|-78.148611|-78.148611|23|23
Aghajari|Aghajari|Aghajari|Aghajari|Iran|Iran|30.744450|30.744450|49.677183|49.677183|27|27
Aktyubinsk|Aktyubinsk|Aktyubinsk|Aktyubinsk|Kazakhstan|Kazakhstan|50.245833|50.245833|57.206667|57.206667|225|225
Civil|Civil|Sittwe|Sittwe|Myanmar|Myanmar|20.132708|20.132708|92.872628|92.872628|8|8
